name,price,category,,,,,,,,,,,
สบู่เบนเน็ท,45,ของใช้,,,,,,,,,,,
สบูู่อิงอร,35,ของใช้,,,,,,,,,,,
สบู่สมุนไพร,40,ของใช้,,,,,,,,,,,
สบู่ Asepso,25,ของใช้,,,,,,,,,,,
สบู่นกแก้ว 105 กรัม,17,ของใช้,,,,,,,,,,,
สบู่นกแก้้ว 70 กรัม,12,ของใช้,,,,,,,,,,,
สบู่เอเเซนเต้,30,ของใช้,,,,,,,,,,,
สบู่ลัก 70 กรัม,15,ของใช้,,,,,,,,,,,
ยาสีฟันคอลเกต 35 กรัม,18,ของใช้,,,,,,,,,,,
ยาสีฟันคอลเกต 100 กรัม,45,ของใช้,,,,,,,,,,,
ยาสีฟันดาลี่ 80 กรัม,35,ของใช้,,,,,,,,,,,
ยาสีฟัน ดอกบัวคู่ 100 กรัม,40,ของใช้,,,,,,,,,,,
ยาสีฟัน ดอกบัวคู่ 150  กรัม,55,ของใช้,,,,,,,,,,,
แฟบ อีซี่ 700 กรัม,,ของใช้,,,,,,,,,,,
ปรับผ้านุ่ม Comfort 480 มล,,ของใช้,,,,,,,,,,,
ดาวนี่ ปรับผ้านุ่ม,,ของใช้,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
