name,price,category
เกร็ดขนมปัง,35,เครื่องปรุง
แป้งทอดกรอบโกกิ,18,เครื่องปรุง
แป้งทอดกรอบรสดี,18,เครื่องปรุง
แป้งทอดกรอบคนอร์,20,เครื่องปรุง
ฟ้าไทย ซอสปรุง รสเห็ดหอม (ซอง),13,เครื่องปรุง
ฟ้าไทยน้ำก๋วยเตี๋ยว น้ำข้น,35,เครื่องปรุง
ฟ้าไทยน้ำก๋วยเตี๋ยว ใส,35,เครื่องปรุง
เกลือแถว,15,เครื่องปรุง
เกลืือปรุงทิพย์ 500 กรัม,15,เครื่องปรุง
เกลือปรุงทิพย์ ขวด,15,เครื่องปรุง
แป้งข้าวโพด,35,เครื่องปรุง
กะทิอัมพวาขวด 500 มล,50,เครื่องปรุง
กะทิอัมพวาขวด 250 มล,30,เครื่องปรุง
กะทิชาวเกาะ 150 มล,20,เครื่องปรุง
กะทิชาวเกาะ 250 มล,30,เครื่องปรุง
กะทิชาวเกาะ 1000 มล,85,เครื่องปรุง
กะทิอร่อยดี 250 มล,30,เครื่องปรุง
กะทิอร่อยดีี 1000 มล,85,เครื่องปรุง
กระเทียมดอง,12,เครื่องปรุง
มะนาวดองเค็ม,12,เครื่องปรุง
น้ำตาลทราย มิตรผล 1 กก,30,เครื่องปรุง
น้ำตาลทรายแดง วังขนาย 1 กก,35,เครื่องปรุง
แป้งสารี ตราว่าว,40,เครื่องปรุง
น้ำตาลปี๊บ,25,เครื่องปรุง
เม็ดสาคูเม็ดใหญ่,28,เครื่องปรุง
เม็ดสาคูเม็ดเล็ก,28,เครื่องปรุง
ถั่วเขียว,35,เครื่องปรุง
ถั่ั่วลิสง,50,เครื่องปรุง
ถั่วลิสงทอด,55,เครื่องปรุง
ถั่วเขีียว,35,เครื่องปรุง
แป้งข้าวจ้าว ตราช้างสามเศียร,30,เครื่องปรุง
แป้งข้าวเหนียว ตราช้างสามเศียร,28,เครื่องปรุง
แป้งท้าวอย่างดี,28,เครื่องปรุง
แป้งมันสำปะหลัง,28,เครื่องปรุง
น้ำตาลทรายแดงไร่ทิพย์,25,เครื่องปรุง
ถั่วเหลืองน้ำเต้าหู้,55,เครื่องปรุง
น้ำปลาทิพย์รส 300 มล (เล็ก),20,เครื่องปรุง
น้ำปลาทิพย์รส 700 มล (ใหญ่),32,เครื่องปรุง
น้ำส้มสายชู อสร 250 มล (เล็ก),20,เครื่องปรุง
น้ำส้มสายชู อสร 700 มล (ใหญ่),20,เครื่องปรุง
ซีอิ้วภูเขาทอง 200 มล,20,เครื่องปรุง
ซีอิ้วภูเขาทอง 500 มล,20,เครื่องปรุง
ซีอิ้วภูเขาทอง  600 มล,20,เครื่องปรุง
พริกไทย ขวด,30,เครื่องปรุง
ผักดองโรซ่า,22,เครื่องปรุง
ผักกาดนกพิราบ 91 กรัม น้ำเงิน,25,เครื่องปรุง
ผักกาดนกพิราบ 140 กรัม,22,เครื่องปรุง
ผักกาดนกพิราบ 150 กรัม,35,เครื่องปรุง
แม็กกี้เล็ก,28,เครื่องปรุง
แม็กกี้ใหญ่,38,เครื่องปรุง
น้ำจิ้มไก่,35,เครื่องปรุง
เต้าเจ๊ยว (กระปุก),30,เครื่องปรุง
เต้าเจ๊ยว (ขวด),30,เครื่องปรุง
เต้าหู้ยี้แดง,45,เครื่องปรุง
เต้าหู้ยี้ขาว,70,เครื่องปรุง
พริกเผาไทย (กลาง),40,เครื่องปรุง
พริกเผาไทย (เล็ก),25,เครื่องปรุง
กะปิตราขั่ง,28,เครื่องปรุง
กะปิตรากุ้ง,16,เครื่องปรุง
น้ำมันมรกต (เล็ก),20,เครื่องปรุง
น้ำมันมรกต (ใหญ่),65,เครื่องปรุง
น้ำมันงา,115,เครื่องปรุง
ซอสมะเขือเทศ โรซ่า (กลาง),30,เครื่องปรุง
ซอสมะเขือเทศ โรซ่า (ใหญ่),45,เครื่องปรุง
ซอสมะเขือเทศ ไฮนซ์ (กลาง),35,เครื่องปรุง
พันท้ายนรสิงห์ น้ำจิ้มสุกี้ (กลาง),60,เครื่องปรุง
น้ำปลาร้า แม่บุญล้ำ ,35,เครื่องปรุง
น้ำปลาร้า ตำมั่ว,40,เครื่องปรุง
น้ำปลาร้า ตำนัว,40,เครื่องปรุง
น้ำปลาร้า ไมค์,40,เครื่องปรุง
ซอสหวานหัวเสือ,20,เครื่องปรุง
ซอสหวานง่วงเชียง,42,เครื่องปรุง
ซอสเต้าเจี๊ยว UFC,35,เครื่องปรุง
ซอสหอยนางรม 150 มล,25,เครื่องปรุง
ซอสหอยนางรม 300 มล,40,เครื่องปรุง
ซอสหอยนางรม 600 มล,55,เครื่องปรุง
ซีอิ้วขาวเห็ด,38,เครื่องปรุง
ซีอิ้วขาวเด็กสมบูรณ์ (เล็ก),35,เครื่องปรุง
ซีอิ้วขาวเด็กสมบูรณ์ (ใหญ่),60,เครื่องปรุง
น้ำมันคิง,80,เครื่องปรุง
น้ำมันองุ่น,68,เครื่องปรุง
วุ้นเส้นสน 80 กรัม,20,เครื่องปรุง
วุ้นเส้นสน 40 กรัม,12,เครื่องปรุง
วุ้นเส้นมังกรคู่ 80 กรัม,12,เครื่องปรุง
วุ้นเส้นมังกรคู่ 40 กรัม,20,เครื่องปรุง
